"","time","comp","scenario","val2","var","value","lab"
"1",1,"I","15% detected, Asymp RR=0.25",585,"Total",990,"Cumulative cases"
"2",1,"I","15% detected, Asymp RR=0.5",409.5,"Total",693,"Cumulative cases"
"3",1,"I","2% detected, Asymp RR=0.25",4972.5,"Total",8415,"Cumulative cases"
"4",1,"I","2% detected, Asymp RR=0.5",2866.5,"Total",4851,"Cumulative cases"
"5",1,"I","5% detected, Asymp RR=0.25",1813.5,"Total",3069,"Cumulative cases"
"6",1,"I","5% detected, Asymp RR=0.5",1111.5,"Total",1881,"Cumulative cases"
"7",2,"I","15% detected, Asymp RR=0.25",726.240493156822,"Total",1230.98962662008,"Cumulative cases"
"8",2,"I","15% detected, Asymp RR=0.5",511.946136691951,"Total",868.685939750057,"Cumulative cases"
"9",2,"I","2% detected, Asymp RR=0.25",6172.70749482597,"Total",10462.8217608126,"Cumulative cases"
"10",2,"I","2% detected, Asymp RR=0.5",3583.49458815963,"Total",6080.572298056,"Cumulative cases"
"11",2,"I","5% detected, Asymp RR=0.25",2251.31113999762,"Total",3816.0075756556,"Cumulative cases"
"12",2,"I","5% detected, Asymp RR=0.5",1389.55386190505,"Total",2357.83643187109,"Cumulative cases"
"13",3,"I","15% detected, Asymp RR=0.25",912.889437731776,"Total",1552.48203445328,"Cumulative cases"
"14",3,"I","15% detected, Asymp RR=0.5",653.264871254496,"Total",1114.54259013299,"Cumulative cases"
"15",3,"I","2% detected, Asymp RR=0.25",7757.94865604797,"Total",13193.2673009831,"Cumulative cases"
"16",3,"I","2% detected, Asymp RR=0.5",4572.22021777251,"Total",7800.66000989807,"Cumulative cases"
"17",3,"I","5% detected, Asymp RR=0.25",2829.7926300065,"Total",4812.40521224808,"Cumulative cases"
"18",3,"I","5% detected, Asymp RR=0.5",1773.07726592811,"Total",3025.06091190102,"Cumulative cases"
"19",4,"I","15% detected, Asymp RR=0.25",1144.40027473872,"Total",1953.43964064339,"Cumulative cases"
"20",4,"I","15% detected, Asymp RR=0.5",834.000526924936,"Total",1431.56723717648,"Cumulative cases"
"21",4,"I","2% detected, Asymp RR=0.25",9723.01608209032,"Total",16596.5212498977,"Cumulative cases"
"22",4,"I","2% detected, Asymp RR=0.5",5836.22105460948,"Total",10017.755679957,"Cumulative cases"
"23",4,"I","5% detected, Asymp RR=0.25",3547.19267184531,"Total",6054.87450511127,"Cumulative cases"
"24",4,"I","5% detected, Asymp RR=0.5",2263.51814621288,"Total",3885.32618038037,"Cumulative cases"
"25",5,"I","15% detected, Asymp RR=0.25",1424.19591186797,"Total",2439.83961758259,"Cumulative cases"
"26",5,"I","15% detected, Asymp RR=0.5",1058.57914683019,"Total",1827.77305738535,"Cumulative cases"
"27",5,"I","2% detected, Asymp RR=0.25",12096.1274475415,"Total",20721.8341293549,"Cumulative cases"
"28",5,"I","2% detected, Asymp RR=0.5",7406.04035487484,"Total",12787.1441490146,"Cumulative cases"
"29",5,"I","5% detected, Asymp RR=0.25",4414.03247210606,"Total",7561.78541253382,"Cumulative cases"
"30",5,"I","5% detected, Asymp RR=0.5",2872.84132539638,"Total",4960.29268496392,"Cumulative cases"
"31",6,"I","15% detected, Asymp RR=0.25",1758.62407143645,"Total",3022.82842467592,"Cumulative cases"
"32",6,"I","15% detected, Asymp RR=0.5",1334.46523788601,"Total",2316.6691259507,"Cumulative cases"
"33",6,"I","2% detected, Asymp RR=0.25",14929.8973083691,"Total",25661.5713018682,"Cumulative cases"
"34",6,"I","2% detected, Asymp RR=0.5",9333.21992841974,"Total",16202.0808712494,"Cumulative cases"
"35",6,"I","5% detected, Asymp RR=0.25",5449.85249340536,"Total",9367.44802363786,"Cumulative cases"
"36",6,"I","5% detected, Asymp RR=0.5",3621.22878686378,"Total",6286.48263916033,"Cumulative cases"
"37",7,"I","15% detected, Asymp RR=0.25",2156.5001308726,"Total",3717.91313536391,"Cumulative cases"
"38",7,"I","15% detected, Asymp RR=0.5",1671.90591149731,"Total",2916.80176718928,"Cumulative cases"
"39",7,"I","2% detected, Asymp RR=0.25",18297.243725238,"Total",31543.9700124541,"Cumulative cases"
"40",7,"I","2% detected, Asymp RR=0.5",11688.3631935343,"Total",20390.3099425236,"Cumulative cases"
"41",7,"I","5% detected, Asymp RR=0.25",6681.77380165064,"Total",11519.5674896619,"Cumulative cases"
"42",7,"I","5% detected, Asymp RR=0.5",4536.36890810129,"Total",7914.00481106445,"Cumulative cases"
"43",8,"I","15% detected, Asymp RR=0.25",2629.00477326423,"Total",4544.77904099702,"Cumulative cases"
"44",8,"I","15% detected, Asymp RR=0.5",2084.04166995139,"Total",3651.95837245003,"Cumulative cases"
"45",8,"I","2% detected, Asymp RR=0.25",22290.2220400625,"Total",38531.0619331264,"Cumulative cases"
"46",8,"I","2% detected, Asymp RR=0.5",14561.6893326364,"Total",25515.0788894646,"Cumulative cases"
"47",8,"I","5% detected, Asymp RR=0.25",8144.15004527425,"Total",14078.6239037358,"Cumulative cases"
"48",8,"I","5% detected, Asymp RR=0.5",5653.73240542744,"Total",9907.06165302867,"Cumulative cases"
"49",9,"I","15% detected, Asymp RR=0.25",3189.80974919282,"Total",5527.50995391192,"Cumulative cases"
"50",9,"I","15% detected, Asymp RR=0.5",2587.27289981466,"Total",4551.83336363112,"Cumulative cases"
"51",9,"I","2% detected, Asymp RR=0.25",27020.6709953513,"Total",46819.7933782857,"Cumulative cases"
"52",9,"I","2% detected, Asymp RR=0.5",18065.2635020244,"Total",31779.1761503916,"Cumulative cases"
"53",9,"I","5% detected, Asymp RR=0.25",9878.91325123627,"Total",17118.4768282071,"Cumulative cases"
"54",9,"I","5% detected, Asymp RR=0.5",7017.52947402356,"Total",12345.6868313419,"Cumulative cases"
"55",10,"I","15% detected, Asymp RR=0.25",3855.36547635907,"Total",6695.09421924079,"Cumulative cases"
"56",10,"I","15% detected, Asymp RR=0.5",3201.83326670947,"Total",5653.06827544755,"Cumulative cases"
"57",10,"I","2% detected, Asymp RR=0.25",32622.0563778815,"Total",56645.2571167457,"Cumulative cases"
"58",10,"I","2% detected, Asymp RR=0.5",22336.5049305837,"Total",39431.2695561152,"Cumulative cases"
"59",10,"I","5% detected, Asymp RR=0.25",11936.4024463132,"Total",20727.8219281366,"Cumulative cases"
"60",10,"I","5% detected, Asymp RR=0.5",8682.20920515718,"Total",15328.4621840246,"Cumulative cases"
"61",11,"I","15% detected, Asymp RR=0.25",4645.31909270102,"Total",8082.16099037046,"Cumulative cases"
"62",11,"I","15% detected, Asymp RR=0.5",3952.5576329561,"Total",7000.64372855018,"Cumulative cases"
"63",11,"I","2% detected, Asymp RR=0.25",39252.1742776085,"Total",68285.4378908069,"Cumulative cases"
"64",11,"I","2% detected, Asymp RR=0.5",27542.8026965561,"Total",48774.2342764526,"Cumulative cases"
"65",11,"I","5% detected, Asymp RR=0.25",14376.5700409681,"Total",25012.3139949166,"Cumulative cases"
"66",11,"I","5% detected, Asymp RR=0.5",10714.4579754235,"Total",18976.1356442778,"Cumulative cases"
"67",12,"I","15% detected, Asymp RR=0.25",5583.05219445035,"Total",9729.92768916395,"Cumulative cases"
"68",12,"I","15% detected, Asymp RR=0.5",4869.85489341112,"Total",8649.64216831676,"Cumulative cases"
"69",12,"I","2% detected, Asymp RR=0.25",47096.523861567,"Total",82067.1340981589,"Cumulative cases"
"70",12,"I","2% detected, Asymp RR=0.5",33887.1887502091,"Total",60175.3725134314,"Cumulative cases"
"71",12,"I","5% detected, Asymp RR=0.25",17270.5216482609,"Total",30097.277730911,"Cumulative cases"
"72",12,"I","5% detected, Asymp RR=0.5",13195.7106833648,"Total",23436.1645686502,"Cumulative cases"
"73",13,"I","15% detected, Asymp RR=0.25",6696.34013231616,"Total",11687.3618683863,"Cumulative cases"
"74",13,"I","15% detected, Asymp RR=0.5",5990.91188065984,"Total",10667.4286414355,"Cumulative cases"
"75",13,"I","2% detected, Asymp RR=0.25",56372.2305379073,"Total",98372.8427513843,"Cumulative cases"
"76",13,"I","2% detected, Asymp RR=0.5",41615.0705571906,"Total",74078.5189121349,"Cumulative cases"
"77",13,"I","5% detected, Asymp RR=0.25",20702.3798952772,"Total",36130.9891227456,"Cumulative cases"
"78",13,"I","5% detected, Asymp RR=0.5",16225.2243412655,"Total",28888.2726713967,"Cumulative cases"
"79",14,"I","15% detected, Asymp RR=0.25",8018.14303942994,"Total",14012.5753258924,"Cumulative cases"
"80",14,"I","15% detected, Asymp RR=0.5",7361.16687023461,"Total",13136.3191437556,"Cumulative cases"
"81",14,"I","2% detected, Asymp RR=0.25",67332.4212961585,"Total",117648.430989565,"Cumulative cases"
"82",14,"I","2% detected, Asymp RR=0.5",51022.0298012345,"Total",91018.0277917798,"Cumulative cases"
"83",14,"I","5% detected, Asymp RR=0.25",24771.4824884743,"Total",43288.5448641776,"Cumulative cases"
"84",14,"I","5% detected, Asymp RR=0.5",19923.7869509796,"Total",35551.1501761541,"Cumulative cases"
"85",15,"I","15% detected, Asymp RR=0.25",9587.54470170398,"Total",16774.4787748194,"Cumulative cases"
"86",15,"I","15% detected, Asymp RR=0.5",9036.10220792501,"Total",16156.8257696461,"Cumulative cases"
"87",15,"I","2% detected, Asymp RR=0.25",80270.939362202,"Total",140411.390633188,"Cumulative cases"
"88",15,"I","2% detected, Asymp RR=0.5",62462.6530022033,"Total",111634.557813383,"Cumulative cases"
"89",15,"I","5% detected, Asymp RR=0.25",29594.9348149586,"Total",51776.3547830708,"Cumulative cases"
"90",15,"I","5% detected, Asymp RR=0.5",24438.1492168072,"Total",43690.4518837823,"Cumulative cases"
"91",16,"I","15% detected, Asymp RR=0.25",11292.3887916238,"Total",19775.5308670962,"Cumulative cases"
"92",16,"I","15% detected, Asymp RR=0.5",10896.4181892352,"Total",19513.5666785433,"Cumulative cases"
"93",16,"I","2% detected, Asymp RR=0.25",94255.0726122893,"Total",165019.236285983,"Cumulative cases"
"94",16,"I","2% detected, Asymp RR=0.5",75111.8683415729,"Total",134438.964942225,"Cumulative cases"
"95",16,"I","5% detected, Asymp RR=0.25",34827.1378962787,"Total",60985.7444995121,"Cumulative cases"
"96",16,"I","5% detected, Asymp RR=0.5",29445.5766944261,"Total",52723.5618897186,"Cumulative cases"
"97",17,"I","15% detected, Asymp RR=0.25",13020.6063433166,"Total",22818.2886563993,"Cumulative cases"
"98",17,"I","15% detected, Asymp RR=0.5",12817.5837401607,"Total",22981.5404451689,"Cumulative cases"
"99",17,"I","2% detected, Asymp RR=0.25",108365.913374877,"Total",189853.5898099,"Cumulative cases"
"100",17,"I","2% detected, Asymp RR=0.5",88119.5086053096,"Total",157896.320030408,"Cumulative cases"
"101",17,"I","5% detected, Asymp RR=0.25",40124.1446236781,"Total",70310.8057343231,"Cumulative cases"
"102",17,"I","5% detected, Asymp RR=0.5",34610.4429308887,"Total",62044.2006534217,"Cumulative cases"
"103",18,"I","15% detected, Asymp RR=0.25",14805.9705078128,"Total",25962.2302073897,"Cumulative cases"
"104",18,"I","15% detected, Asymp RR=0.5",14843.5430520459,"Total",26640.1832993458,"Cumulative cases"
"105",18,"I","2% detected, Asymp RR=0.25",122863.208138353,"Total",215371.447649498,"Cumulative cases"
"106",18,"I","2% detected, Asymp RR=0.5",101766.072127047,"Total",182512.27218912,"Cumulative cases"
"107",18,"I","5% detected, Asymp RR=0.25",45587.7180767685,"Total",79930.7044441174,"Cumulative cases"
"108",18,"I","5% detected, Asymp RR=0.5",40048.8917939029,"Total",71862.1493509261,"Cumulative cases"
"109",19,"I","15% detected, Asymp RR=0.25",16672.4338840213,"Total",29249.532626878,"Cumulative cases"
"110",19,"I","15% detected, Asymp RR=0.5",17007.1547188308,"Total",30548.8914260972,"Cumulative cases"
"111",19,"I","2% detected, Asymp RR=0.25",137924.516608659,"Total",241885.032955571,"Cumulative cases"
"112",19,"I","2% detected, Asymp RR=0.5",116253.682982953,"Total",208650.73497531,"Cumulative cases"
"113",19,"I","5% detected, Asymp RR=0.25",51289.2824360566,"Total",89971.1591104242,"Cumulative cases"
"114",19,"I","5% detected, Asymp RR=0.5",45846.8556672248,"Total",82332.5645297292,"Cumulative cases"
"115",20,"I","15% detected, Asymp RR=0.25",18637.9326541055,"Total",32711.7757312715,"Cumulative cases"
"116",20,"I","15% detected, Asymp RR=0.5",19334.9200051255,"Total",34755.5728188762,"Cumulative cases"
