Scenario,v11,v12,v13,v21,v22,v23,v31,v32,v33,s,e,p,R0,kappa,alpha1,alpha2,alpha3,epsilon,delta,gamma,m1,m2,m3,c,obs,e_ratio,k_report,k_inf,k_susp,young,medium,old,n
"15% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.071,3.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.071,3.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.071,3.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.071,3.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.076,3.5,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.076,3.5,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.25",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.081,3.8,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
"2% detected, Asymp RR=0.5",4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.081,3.8,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.02,,1,1,1,1,0.24,0.6,0.15,8400000
