"","time","comp","scenario","val2","var","value","lab"
"1",1,"I","14% detected, Asymp RR=0.25",186.03,"Total",314.82,"Cumulative cases"
"2",1,"I","14% detected, Asymp RR=0.5",145.665,"Total",246.51,"Cumulative cases"
"3",1,"I","30% detected, Asymp RR=0.25",87.165,"Total",147.51,"Cumulative cases"
"4",1,"I","30% detected, Asymp RR=0.5",67.86,"Total",114.84,"Cumulative cases"
"5",2,"I","14% detected, Asymp RR=0.25",227.0889014938,"Total",395.0106096648,"Cumulative cases"
"6",2,"I","14% detected, Asymp RR=0.5",178.645066400511,"Total",311.183943162976,"Cumulative cases"
"7",2,"I","30% detected, Asymp RR=0.25",106.403326819006,"Total",185.083665150605,"Cumulative cases"
"8",2,"I","30% detected, Asymp RR=0.5",83.2242370971716,"Total",144.969289976742,"Cumulative cases"
"9",3,"I","14% detected, Asymp RR=0.25",275.217546024932,"Total",491.021177855084,"Cumulative cases"
"10",3,"I","14% detected, Asymp RR=0.5",218.730911080475,"Total",391.803781070812,"Cumulative cases"
"11",3,"I","30% detected, Asymp RR=0.25",128.954230242688,"Total",230.069876297193,"Cumulative cases"
"12",3,"I","30% detected, Asymp RR=0.5",101.898826070681,"Total",182.527252687204,"Cumulative cases"
"13",4,"I","14% detected, Asymp RR=0.25",329.949858049263,"Total",601.721183592688,"Cumulative cases"
"14",4,"I","14% detected, Asymp RR=0.5",265.575644995811,"Total",487.517624597289,"Cumulative cases"
"15",4,"I","30% detected, Asymp RR=0.25",154.5993729095,"Total",281.939019230314,"Cumulative cases"
"16",4,"I","30% detected, Asymp RR=0.5",123.722183428993,"Total",227.117067127335,"Cumulative cases"
"17",5,"I","14% detected, Asymp RR=0.25",391.279615572163,"Total",726.983958918848,"Cumulative cases"
"18",5,"I","14% detected, Asymp RR=0.5",319.341276658615,"Total",598.593521849508,"Cumulative cases"
"19",5,"I","30% detected, Asymp RR=0.25",183.335771234641,"Total",340.631594931884,"Cumulative cases"
"20",5,"I","30% detected, Asymp RR=0.5",148.769681015053,"Total",278.863383805274,"Cumulative cases"
"21",6,"I","14% detected, Asymp RR=0.25",459.503801381406,"Total",867.347859637291,"Cumulative cases"
"22",6,"I","14% detected, Asymp RR=0.5",380.535820699804,"Total",726.062848939497,"Cumulative cases"
"23",6,"I","30% detected, Asymp RR=0.25",215.302771998621,"Total",406.400270641253,"Cumulative cases"
"24",6,"I","30% detected, Asymp RR=0.5",177.278280443847,"Total",338.247330078729,"Cumulative cases"
"25",7,"I","14% detected, Asymp RR=0.25",535.13402059629,"Total",1023.8234697761,"Cumulative cases"
"26",7,"I","14% detected, Asymp RR=0.5",449.926129655745,"Total",871.528466415075,"Cumulative cases"
"27",7,"I","30% detected, Asymp RR=0.25",250.739967202532,"Total",479.718295543179,"Cumulative cases"
"28",7,"I","30% detected, Asymp RR=0.5",209.604969835718,"Total",406.015052949302,"Cumulative cases"
"29",8,"I","14% detected, Asymp RR=0.25",618.842506683133,"Total",1197.77517598334,"Cumulative cases"
"30",8,"I","14% detected, Asymp RR=0.5",528.490218755202,"Total",1037.05892986843,"Cumulative cases"
"31",8,"I","30% detected, Asymp RR=0.25",289.962592158836,"Total",561.225511252227,"Cumulative cases"
"32",8,"I","30% detected, Asymp RR=0.5",246.205746011482,"Total",483.131034875525,"Cumulative cases"
"33",9,"I","14% detected, Asymp RR=0.25",711.43834368396,"Total",1390.86790075843,"Cumulative cases"
"34",9,"I","14% detected, Asymp RR=0.5",617.402713773161,"Total",1225.15502177813,"Cumulative cases"
"35",9,"I","30% detected, Asymp RR=0.25",333.349574463573,"Total",651.701655402907,"Cumulative cases"
"36",9,"I","30% detected, Asymp RR=0.5",287.627663080801,"Total",570.759951615089,"Cumulative cases"
"37",10,"I","14% detected, Asymp RR=0.25",813.853464833335,"Total",1605.03512656298,"Cumulative cases"
"38",10,"I","14% detected, Asymp RR=0.5",718.030947126276,"Total",1438.73966934883,"Cumulative cases"
"39",10,"I","30% detected, Asymp RR=0.25",381.337783769793,"Total",752.05311549531,"Cumulative cases"
"40",10,"I","30% detected, Asymp RR=0.5",334.507894996121,"Total",670.263888485982,"Cumulative cases"
"41",11,"I","14% detected, Asymp RR=0.25",927.140789335815,"Total",1842.47321600516,"Cumulative cases"
"42",11,"I","14% detected, Asymp RR=0.5",831.946897538689,"Total",1681.18251489545,"Cumulative cases"
"43",11,"I","30% detected, Asymp RR=0.25",434.420624608564,"Total",863.30912226199,"Cumulative cases"
